url,page_name,page_type,parent_section,target_audience,user_intent,primary_topic,primary_cta,related_pages,phase,source_status
/services/search-ai-visibility/seo/saas-seo/,SaaS SEO,Service,SEO,A3,Grow organic pipeline for a software product,SaaS search growth,Request an assessment,/industries/saas-technology/ | /services/digital-marketing/content-marketing/ | /services/search-ai-visibility/ai-search/,P2,NEW
/services/search-ai-visibility/seo/seo-audits/,SEO Audits,Service,SEO,A3 A7,Diagnose why search performance is flat,SEO auditing,Get a free SEO audit,/free-seo-audit/ | /services/search-ai-visibility/seo/technical-seo/ | /services/search-ai-visibility/ai-search/ai-visibility-audit/,P1,NEW
/services/search-ai-visibility/seo/seo-consulting/,SEO Consulting,Service,SEO,A2 A3,Get senior guidance without a full retainer,SEO advisory,Book a consultation,/engagement-models/ | /services/search-ai-visibility/seo/ | /process/,P2,NEW
/services/search-ai-visibility/seo/seo-content-strategy/,SEO Content Strategy,Service,SEO,A3 A4,Plan content that ranks and converts,Content strategy for search,Request a content plan,/services/digital-marketing/content-marketing/ | /services/search-ai-visibility/ai-search/ai-content-strategy/ | /use-cases/scale-content-production/,P1,NEW
/services/search-ai-visibility/seo/keyword-strategy/,Keyword & Query Strategy,Service,SEO,A3 A4,Know which queries to target and why,Keyword and query research,Get a free SEO audit,/services/search-ai-visibility/seo/seo-content-strategy/ | /services/search-ai-visibility/ai-search/entity-optimization/ | /insights/guides/seo-guide/,P2,NEW
/services/search-ai-visibility/seo/seo-migration/,SEO Migration Support,Service,SEO,A3 A7,Move or replatform a site without losing rankings,Migration SEO,Talk to a strategist,/use-cases/migrate-without-losing-rankings/ | /services/web-development/website-redesign/ | /services/search-ai-visibility/seo/technical-seo/,P2,NEW
/services/search-ai-visibility/seo/site-architecture/,Site Architecture & Internal Linking,Service,SEO,A3 A7,Structure a site so search engines understand it,Information architecture for search,Request an assessment,/services/search-ai-visibility/seo/technical-seo/ | /services/search-ai-visibility/ai-search/entity-optimization/ | /services/web-development/website-redesign/,P2,NEW
/services/search-ai-visibility/ai-search/,AI Search Optimisation,Service,Search & AI Visibility,A3 A2,Understand how to be visible in AI answers,AI search visibility,Request an AI visibility assessment,/services/search-ai-visibility/ai-search/aeo/ | /services/search-ai-visibility/ai-search/geo/ | /insights/guides/ai-search-optimization-guide/,P1,NEW
/services/search-ai-visibility/ai-search/aeo/,Answer Engine Optimisation (AEO),Service,AI Search,A3 A4,Get content used as the direct answer,Answer engine optimisation,Request an AI visibility assessment,/services/search-ai-visibility/ai-search/ai-overviews/ | /services/search-ai-visibility/ai-search/structured-data/ | /compare/seo-vs-aeo-vs-geo/,P1,NEW
/services/search-ai-visibility/ai-search/geo/,Generative Engine Optimisation (GEO),Service,AI Search,A3 A2,Get cited by generative AI systems,Generative engine optimisation,Request an AI visibility assessment,/services/search-ai-visibility/ai-search/chatgpt-visibility/ | /services/search-ai-visibility/ai-search/perplexity-visibility/ | /insights/guides/geo-guide/,P1,NEW
/services/search-ai-visibility/ai-search/aio/,AI Optimisation (AIO),Service,AI Search,A3 A7,Structure digital assets for AI discovery systems,AI optimisation,Request an AI visibility assessment,/services/search-ai-visibility/ai-search/ai-crawlability/ | /services/search-ai-visibility/ai-search/structured-data/ | /technology/ai-governance/,P2,NEW
/services/search-ai-visibility/ai-search/ai-overviews/,Google AI Overviews Optimisation,Service,AI Search,A3,Appear in Google AI Overviews,AI Overviews visibility,Request an AI visibility assessment,/services/search-ai-visibility/ai-search/aeo/ | /services/search-ai-visibility/seo/on-page-seo/ | /use-cases/get-found-in-ai-search/,P1,NEW
/services/search-ai-visibility/ai-search/chatgpt-visibility/,ChatGPT Search Visibility,Service,AI Search,A3 A1,Be recommended when buyers ask ChatGPT,ChatGPT brand visibility,Request an AI visibility assessment,/services/search-ai-visibility/ai-search/geo/ | /services/search-ai-visibility/ai-search/ai-crawlability/ | /insights/guides/ai-search-optimization-guide/,P1,NEW
/services/search-ai-visibility/ai-search/perplexity-visibility/,Perplexity Visibility,Service,AI Search,A3,Get cited in Perplexity answers,Perplexity citation strategy,Request an AI visibility assessment,/services/search-ai-visibility/ai-search/geo/ | /services/search-ai-visibility/ai-search/ai-content-strategy/ | /insights/topics/ai-search/,P2,NEW
/services/search-ai-visibility/ai-search/gemini-visibility/,Google Gemini Visibility,Service,AI Search,A3,Be surfaced in Gemini responses,Gemini visibility,Request an AI visibility assessment,/services/search-ai-visibility/ai-search/ai-overviews/ | /services/search-ai-visibility/ai-search/entity-optimization/ | /insights/topics/ai-search/,P2,NEW
/services/search-ai-visibility/ai-search/entity-optimization/,Entity Optimisation,Service,AI Search,A3 A7,Make a brand machine-understandable,Entity SEO and knowledge graphs,Request an assessment,/services/search-ai-visibility/ai-search/structured-data/ | /services/search-ai-visibility/seo/site-architecture/ | /insights/glossary/entity/,P1,NEW
/services/search-ai-visibility/ai-search/structured-data/,Structured Data & Schema,Service,AI Search,A7 A3,Implement schema that machines actually use,Schema markup,Request an assessment,/services/search-ai-visibility/ai-search/aeo/ | /services/search-ai-visibility/seo/technical-seo/ | /insights/glossary/schema-markup/,P1,NEW
/services/search-ai-visibility/ai-search/ai-crawlability/,AI Crawlability & Access Control,Service,AI Search,A7 A3,Control how AI crawlers read a site,AI crawler access and llms.txt,Request an assessment,/services/search-ai-visibility/ai-search/aio/ | /technology/ai-governance/ | /insights/glossary/llms-txt/,P2,NEW
/services/search-ai-visibility/ai-search/ai-visibility-audit/,AI Visibility Audit,Service,AI Search,A3 A2,Measure current visibility in AI answers,AI visibility measurement,Request an AI visibility assessment,/ai-visibility-assessment/ | /services/search-ai-visibility/ai-search/ | /insights/tools/ai-visibility-checker/,P1,NEW
/services/search-ai-visibility/ai-search/ai-content-strategy/,AI-Ready Content Strategy,Service,AI Search,A3 A4,Write content AI systems will cite,Content strategy for retrieval,Request a content plan,/services/search-ai-visibility/seo/seo-content-strategy/ | /services/search-ai-visibility/ai-search/aeo/ | /use-cases/scale-content-production/,P1,NEW
/services/search-ai-visibility/ai-search/voice-search/,Voice Search Optimisation,Service,AI Search,A1 A3,Be found through voice assistants,Voice search,Request an assessment,/services/search-ai-visibility/seo/local-seo/ | /services/search-ai-visibility/ai-search/aeo/ | /insights/glossary/voice-search/,P3,NEW
/services/search-ai-visibility/sxo/,Search Experience Optimisation (SXO),Service,Search & AI Visibility,A3,Turn search visits into conversions,Search experience optimisation,Request a CRO assessment,/services/digital-marketing/conversion-rate-optimization/ | /services/web-development/ui-ux-design/ | /use-cases/improve-website-conversion/,P2,REWRITE
/services/search-ai-visibility/google-business-profile/,Google Business Profile Optimisation,Service,Search & AI Visibility,A1,Improve local map and profile visibility,Google Business Profile,Get a local visibility audit,/services/search-ai-visibility/seo/local-seo/ | /locations/pune/ | /use-cases/rank-in-local-search/,P1,REWRITE
/services/search-ai-visibility/search-analytics/,Search Analytics & Reporting,Service,Search & AI Visibility,A3 A2,Understand and report search performance,Search measurement,Request an assessment,/services/data-analytics/dashboards-reporting/ | /services/data-analytics/analytics-implementation/ | /use-cases/improve-reporting/,P2,NEW
/services/digital-marketing/,Digital Marketing & Growth,Practice Hub,Services,A3 A5 A1,Find a partner to grow demand,Digital marketing and growth,Talk to a strategist,/services/digital-marketing/performance-marketing/ | /services/search-ai-visibility/ | /use-cases/generate-more-leads/,P1,REWRITE
/services/digital-marketing/digital-strategy/,Digital Strategy,Service,Digital Marketing,A2 A3,Build a coherent digital plan,Digital strategy,Talk to a strategist,/services/digital-marketing/growth-strategy/ | /process/ | /services/data-analytics/data-strategy/,P1,NEW
/services/digital-marketing/performance-marketing/,Performance Marketing,Service,Digital Marketing,A3 A5,Buy demand efficiently,Paid acquisition,Request a performance audit,/services/digital-marketing/paid-search/ | /services/digital-marketing/paid-social/ | /use-cases/lower-cost-per-lead/,P1,NEW
/services/digital-marketing/paid-search/,Paid Search (Google Ads),Service,Digital Marketing,A3 A5,Run profitable search campaigns,Google Ads management,Request a performance audit,/services/digital-marketing/performance-marketing/ | /services/digital-marketing/conversion-rate-optimization/ | /services/search-ai-visibility/seo/,P2,NEW
/services/digital-marketing/paid-social/,Paid Social,Service,Digital Marketing,A3 A5,Reach buyers on social platforms,Paid social advertising,Request a performance audit,/services/digital-marketing/performance-marketing/ | /services/digital-marketing/social-media-marketing/ | /use-cases/generate-more-leads/,P2,NEW
/services/digital-marketing/content-marketing/,Content Marketing,Service,Digital Marketing,A3 A4,Build demand through published content,Content marketing,Request a content plan,/services/search-ai-visibility/seo/seo-content-strategy/ | /services/digital-marketing/digital-pr/ | /use-cases/scale-content-production/,P1,NEW
/services/digital-marketing/social-media-marketing/,Social Media Marketing,Service,Digital Marketing,A1 A3,Build presence and community on social,Social media management,Talk to a strategist,/services/digital-marketing/content-marketing/ | /services/digital-marketing/paid-social/ | /services/digital-marketing/brand-positioning/,P2,NEW
/services/digital-marketing/email-lifecycle-marketing/,Email & Lifecycle Marketing,Service,Digital Marketing,A3 A5,Convert and retain existing contacts,Lifecycle marketing,Talk to a strategist,/services/ai-automation/marketing-operations-automation/ | /services/digital-marketing/conversion-rate-optimization/ | /use-cases/improve-customer-experience/,P2,NEW
/services/digital-marketing/conversion-rate-optimization/,Conversion Rate Optimisation,Service,Digital Marketing,A3 A5,Get more from existing traffic,Conversion optimisation,Request a CRO assessment,/use-cases/improve-website-conversion/ | /services/web-development/ui-ux-design/ | /services/search-ai-visibility/sxo/,P1,NEW
/services/digital-marketing/marketing-analytics/,Marketing Analytics,Service,Digital Marketing,A3 A2,Measure what marketing actually produces,Marketing measurement,Request an assessment,/services/data-analytics/analytics-implementation/ | /services/data-analytics/dashboards-reporting/ | /use-cases/improve-reporting/,P2,NEW
/services/digital-marketing/growth-strategy/,Growth Strategy,Service,Digital Marketing,A2 A1,Plan sustainable growth across channels,Growth planning,Talk to a strategist,/services/digital-marketing/digital-strategy/ | /use-cases/generate-more-leads/ | /engagement-models/,P2,NEW
/services/digital-marketing/brand-positioning/,Brand & Positioning,Service,Digital Marketing,A2 A3,Clarify what the brand stands for,Brand positioning,Talk to a strategist,/services/web-development/ui-ux-design/ | /services/digital-marketing/content-marketing/ | /services/digital-marketing/digital-strategy/,P3,NEW
/services/digital-marketing/digital-pr/,Digital PR & Link Earning,Service,Digital Marketing,A3,Earn coverage and authority,Digital PR,Talk to a strategist,/services/search-ai-visibility/seo/off-page-seo/ | /services/digital-marketing/content-marketing/ | /services/search-ai-visibility/ai-search/geo/,P3,NEW
/services/digital-marketing/lead-generation/,Lead Generation,Service,Digital Marketing,A5 A1,Increase qualified enquiry volume,Lead generation,Get a lead-flow assessment,/use-cases/generate-more-leads/ | /services/ai-automation/sales-automation/ | /services/digital-marketing/performance-marketing/,P1,NEW
/services/digital-marketing/ecommerce-marketing/,E-commerce Marketing,Service,Digital Marketing,A3,Grow online store revenue,E-commerce growth,Talk to a strategist,/industries/ecommerce-retail/ | /services/search-ai-visibility/seo/ecommerce-seo/ | /services/web-development/ecommerce-websites/,P3,NEW
/services/web-development/,Web Development & Digital Experience,Practice Hub,Services,A1 A3 A7,Find a partner to build or rebuild a website,Website design and development,Discuss your project,/services/web-development/web-design/ | /work/by-service/ | /technology/web-stack/,P1,REWRITE
/services/web-development/web-design/,Web Design,Service,Websites,A1 A3,Get a site designed properly,Website design,Discuss your project,/services/web-development/ui-ux-design/ | /services/web-development/corporate-websites/ | /work/by-service/,P1,NEW
/services/web-development/corporate-websites/,Corporate Websites,Service,Websites,A2 A3,Build a credible company website,Corporate web presence,Discuss your project,/services/web-development/business-portals/ | /services/web-development/cms-development/ | /industries/manufacturing/,P1,REWRITE
/services/web-development/business-portals/,Business Portals,Service,Websites,A2 A6,Give partners or staff a self-service portal,Business portals,Discuss your project,/services/software-development/customer-portals/ | /services/software-development/systems-integration/ | /use-cases/improve-operational-efficiency/,P2,REWRITE
/services/web-development/ecommerce-websites/,E-commerce Websites,Service,Websites,A1 A3,Build or replatform an online store,E-commerce development,Discuss your project,/technology/ecommerce-platforms/ | /services/search-ai-visibility/seo/ecommerce-seo/ | /industries/ecommerce-retail/,P1,REWRITE
/services/web-development/landing-pages/,Landing Pages,Service,Websites,A3 A5,Build pages that convert campaign traffic,Landing page development,Discuss your project,/services/digital-marketing/conversion-rate-optimization/ | /services/digital-marketing/performance-marketing/ | /use-cases/improve-website-conversion/,P2,REWRITE
/services/web-development/cms-development/,CMS Development,Service,Websites,A3 A7,Let a team publish without developers,Content management systems,Discuss your project,/services/web-development/headless-cms/ | /technology/cms/ | /services/web-development/wordpress-development/,P2,NEW
/services/web-development/headless-cms/,Headless CMS Development,Service,Websites,A7 A3,Decouple content from presentation,Headless CMS,Technical discovery call,/technology/cms/ | /technology/web-stack/ | /compare/headless-vs-traditional-cms/,P3,NEW
/services/web-development/wordpress-development/,WordPress Development,Service,Websites,A1 A3,Build or fix a WordPress site properly,WordPress development,Discuss your project,/services/web-development/cms-development/ | /services/web-development/website-performance/ | /compare/wordpress-vs-custom/,P2,NEW
/services/web-development/custom-web-applications/,Custom Web Applications,Service,Websites,A7 A2,Build a web app for a specific business need,Custom web applications,Technical discovery call,/services/software-development/web-applications/ | /services/software-development/custom-software/ | /technology/web-stack/,P2,NEW
/services/web-development/ui-ux-design/,UI/UX Design,Service,Websites,A3 A7,Design an interface people can use,User experience design,Discuss your project,/services/software-development/product-design/ | /services/web-development/design-systems/ | /services/digital-marketing/conversion-rate-optimization/,P1,REWRITE
/services/web-development/design-systems/,Design Systems,Service,Websites,A7 A3,Keep design consistent as a product scales,Design systems,Technical discovery call,/services/web-development/ui-ux-design/ | /services/software-development/product-design/ | /technology/our-engineering-standards/,P3,NEW
/services/web-development/website-maintenance/,Website Maintenance & Support,Service,Websites,A1 A6,Keep a site secure updated and running,Website support,Request a support plan,/services/web-development/website-performance/ | /technology/security-and-compliance/ | /engagement-models/,P2,REWRITE
/services/web-development/website-performance/,Website Performance & Core Web Vitals,Service,Websites,A3 A7,Make a slow site fast,Site speed and Core Web Vitals,Get a performance audit,/use-cases/improve-website-speed/ | /services/search-ai-visibility/seo/technical-seo/ | /insights/tools/website-speed-test/,P1,NEW
/services/web-development/website-redesign/,Website Redesign & Replatform,Service,Websites,A2 A3,Replace an outdated site safely,Website redesign,Discuss your project,/use-cases/migrate-without-losing-rankings/ | /services/search-ai-visibility/seo/seo-migration/ | /insights/guides/website-redesign-guide/,P1,NEW
/services/web-development/accessibility-compliance/,Accessibility Compliance,Service,Websites,A7 A8,Meet accessibility requirements,Web accessibility,Request an accessibility audit,/technology/accessibility-standards/ | /services/web-development/ui-ux-design/ | /accessibility-statement/,P3,NEW
/services/software-development/,Software Development & Product Engineering,Practice Hub,Services,A7 A2,Find an engineering partner,Custom software engineering,Technical discovery call,/technology/ | /services/software-development/custom-software/ | /work/by-service/,P1,REWRITE
/services/software-development/custom-software/,Custom Software Development,Service,Software,A7 A2,Build software fitted to a specific process,Custom software,Technical discovery call,/services/software-development/web-applications/ | /compare/build-vs-buy/ | /process/,P1,REWRITE
/services/software-development/saas-development/,SaaS Product Development,Service,Software,A7 A2,Build a multi-tenant software product,SaaS engineering,Technical discovery call,/services/software-development/mvp-development/ | /industries/saas-technology/ | /technology/cloud-and-infrastructure/,P2,NEW
/services/software-development/web-applications/,Web Application Development,Service,Software,A7,Build a browser-based business application,Web application engineering,Technical discovery call,/services/web-development/custom-web-applications/ | /technology/web-stack/ | /services/software-development/api-development/,P1,REWRITE
/services/software-development/mobile-app-development/,Mobile App Development,Service,Software,A7 A2,Build an iOS or Android application,Mobile engineering,Technical discovery call,/technology/mobile-stack/ | /services/software-development/product-design/ | /services/software-development/api-development/,P2,REWRITE
/services/software-development/api-development/,API Development & Integration,Service,Software,A7,Connect systems through APIs,API engineering,Technical discovery call,/services/software-development/systems-integration/ | /technology/integrations/ | /services/ai-automation/ai-integration/,P2,NEW
/services/software-development/product-design/,Product Design,Service,Software,A7 A3,Design a product before building it,Product design,Technical discovery call,/services/web-development/ui-ux-design/ | /services/software-development/mvp-development/ | /services/web-development/design-systems/,P2,NEW
/services/software-development/mvp-development/,MVP Development,Service,Software,A2 A7,Validate an idea before full investment,MVP engineering,Technical discovery call,/use-cases/launch-a-digital-product/ | /industries/startups-smes/ | /services/software-development/product-design/,P2,NEW
/services/software-development/cloud-and-devops/,Cloud & DevOps,Service,Software,A7,Deploy and operate software reliably,Cloud infrastructure and DevOps,Technical discovery call,/technology/cloud-and-infrastructure/ | /services/software-development/qa-testing/ | /technology/our-engineering-standards/,P3,NEW
/services/software-development/qa-testing/,QA & Testing,Service,Software,A7,Ship software that works,Quality assurance,Technical discovery call,/technology/our-engineering-standards/ | /services/software-development/custom-software/ | /process/,P3,NEW
/services/software-development/legacy-modernisation/,Legacy System Modernisation,Service,Software,A7 A2,Replace or upgrade ageing software,Legacy modernisation,Technical discovery call,/use-cases/modernise-legacy-system/ | /services/software-development/systems-integration/ | /technology/cloud-and-infrastructure/,P2,NEW
/services/software-development/systems-integration/,Systems Integration,Service,Software,A6 A7,Make disconnected systems work together,Systems integration,Technical discovery call,/services/software-development/api-development/ | /technology/integrations/ | /use-cases/centralise-business-data/,P2,REWRITE
/services/software-development/crm-development/,CRM Development & Customisation,Service,Software,A5 A6,Get a CRM that fits the sales process,CRM engineering,Technical discovery call,/services/ai-automation/sales-automation/ | /services/software-development/systems-integration/ | /industries/real-estate/,P2,REWRITE
/services/software-development/customer-portals/,Customer Portals,Service,Software,A6 A2,Give customers self-service access,Customer portals,Technical discovery call,/services/web-development/business-portals/ | /use-cases/improve-customer-experience/ | /services/software-development/api-development/,P2,REWRITE
/services/software-development/booking-platforms/,Booking & Scheduling Platforms,Service,Software,A6 A1,Let customers book without phone calls,Booking systems,Technical discovery call,/industries/hospitality-travel/ | /services/ai-automation/workflow-automation/ | /services/software-development/custom-software/,P3,REWRITE
/services/ai-automation/,AI & Automation,Practice Hub,Services,A6 A7 A2,Understand what AI and automation can do here,AI and business automation,Request an automation assessment,/services/ai-automation/ai-agents/ | /use-cases/reduce-manual-work/ | /technology/ai-stack/,P1,REWRITE
/services/ai-automation/ai-consulting/,AI Consulting,Service,AI & Automation,A2 A7,Work out where AI actually helps,AI advisory,Book a consultation,/services/ai-automation/ai-strategy-roadmap/ | /services/ai-automation/ai-transformation/ | /technology/ai-governance/,P1,NEW
/services/ai-automation/ai-strategy-roadmap/,AI Strategy & Roadmap,Service,AI & Automation,A2,Sequence AI investment sensibly,AI roadmapping,Book a consultation,/services/ai-automation/ai-consulting/ | /services/data-analytics/data-strategy/ | /process/,P2,NEW
/services/ai-automation/ai-agents/,AI Agents,Service,AI & Automation,A6 A7,Deploy agents that complete real tasks,AI agents,Request an automation assessment,/services/ai-automation/ai-chatbots/ | /use-cases/build-an-ai-agent/ | /technology/ai-stack/,P1,NEW
/services/ai-automation/ai-chatbots/,AI Chatbots,Service,AI & Automation,A6 A1,Answer common questions automatically,Conversational AI,Request an automation assessment,/services/ai-automation/customer-support-automation/ | /compare/chatbot-vs-ai-agent/ | /services/ai-automation/knowledge-assistants-rag/,P1,REWRITE
/services/ai-automation/ai-voice-agents/,AI Voice Agents,Service,AI & Automation,A6 A5,Handle inbound calls without more staff,Voice AI,Request an automation assessment,/services/ai-automation/customer-support-automation/ | /industries/healthcare/ | /services/ai-automation/ai-agents/,P2,NEW
/services/ai-automation/customer-support-automation/,Customer Support Automation,Service,AI & Automation,A6,Cut repetitive support load,Support automation,Request an automation assessment,/use-cases/automate-customer-support/ | /services/ai-automation/ai-chatbots/ | /use-cases/reduce-response-time/,P1,NEW
/services/ai-automation/sales-automation/,Sales Automation,Service,AI & Automation,A5,Stop losing enquiries to slow follow-up,Sales process automation,Get a lead-flow assessment,/use-cases/automate-sales-follow-up/ | /services/software-development/crm-development/ | /services/digital-marketing/lead-generation/,P1,NEW
/services/ai-automation/marketing-operations-automation/,Marketing Operations Automation,Service,AI & Automation,A3,Remove manual work from marketing delivery,Marketing ops automation,Request an automation assessment,/services/digital-marketing/email-lifecycle-marketing/ | /use-cases/automate-marketing/ | /services/data-analytics/analytics-implementation/,P2,NEW
/services/ai-automation/workflow-automation/,Workflow Automation,Service,AI & Automation,A6,Automate a repetitive business process,Workflow automation,Request an automation assessment,/use-cases/reduce-manual-work/ | /technology/automation-platforms/ | /services/ai-automation/process-digitisation/,P1,REWRITE
/services/ai-automation/process-digitisation/,Process Digitisation,Service,AI & Automation,A6,Move paper and spreadsheet processes into systems,Process digitisation,Request an automation assessment,/services/ai-automation/workflow-automation/ | /services/ai-automation/document-data-processing/ | /industries/manufacturing/,P2,REWRITE
/services/ai-automation/document-data-processing/,Document & Data Processing,Service,AI & Automation,A6,Extract data from documents automatically,Intelligent document processing,Request an automation assessment,/use-cases/reduce-manual-data-entry/ | /services/data-analytics/data-engineering/ | /services/ai-automation/ai-agents/,P2,REWRITE
/services/ai-automation/knowledge-assistants-rag/,Knowledge Assistants,Service,AI & Automation,A6 A7,Let staff query internal knowledge,Retrieval-augmented assistants,Request an automation assessment,/technology/ai-stack/ | /services/ai-automation/ai-agents/ | /insights/glossary/rag/,P2,NEW
/services/ai-automation/ai-integration/,AI Integration,Service,AI & Automation,A7,Add AI to existing systems,AI integration,Technical discovery call,/services/software-development/api-development/ | /technology/integrations/ | /services/ai-automation/llm-application-development/,P2,REWRITE
/services/ai-automation/intelligent-automation/,Intelligent Automation,Service,AI & Automation,A6 A2,Combine rules and AI across a process,Intelligent automation,Request an automation assessment,/services/ai-automation/workflow-automation/ | /services/ai-automation/ai-agents/ | /use-cases/improve-operational-efficiency/,P3,NEW
/services/ai-automation/llm-application-development/,LLM Application Development,Service,AI & Automation,A7,Build a product feature on language models,LLM engineering,Technical discovery call,/technology/ai-stack/ | /services/software-development/saas-development/ | /technology/ai-governance/,P2,NEW
/services/ai-automation/ai-transformation/,AI Transformation,Service,AI & Automation,A2,Change how the business operates with AI,AI-led transformation,Book a consultation,/services/ai-automation/ai-strategy-roadmap/ | /services/ai-automation/ai-consulting/ | /use-cases/scale-digital-operations/,P3,NEW
/services/data-analytics/,Data Analytics & Business Intelligence,Practice Hub,Services,A2 A7 A3,Turn business data into decisions,Data and business intelligence,Request an assessment,/services/data-analytics/business-intelligence/ | /use-cases/centralise-business-data/ | /technology/data-and-analytics-stack/,P2,NEW
/services/data-analytics/business-intelligence/,Business Intelligence,Service,Data & BI,A2 A6,See what is happening in the business,Business intelligence,Request an assessment,/services/data-analytics/dashboards-reporting/ | /use-cases/improve-reporting/ | /technology/data-and-analytics-stack/,P2,REWRITE
/services/data-analytics/data-strategy/,Data Strategy,Service,Data & BI,A2,Decide what to measure and why,Data strategy,Book a consultation,/services/data-analytics/data-engineering/ | /services/ai-automation/ai-strategy-roadmap/ | /services/data-analytics/business-intelligence/,P3,NEW
/services/data-analytics/dashboards-reporting/,Dashboards & Reporting,Service,Data & BI,A2 A3,Get reliable recurring reporting,Dashboards and reporting,Request an assessment,/use-cases/improve-reporting/ | /services/digital-marketing/marketing-analytics/ | /services/data-analytics/business-intelligence/,P2,REWRITE
/services/data-analytics/data-engineering/,Data Engineering & Pipelines,Service,Data & BI,A7,Move and clean data reliably,Data pipelines,Technical discovery call,/services/data-analytics/data-integration/ | /technology/data-and-analytics-stack/ | /use-cases/centralise-business-data/,P3,NEW
/services/data-analytics/marketing-data-warehouse/,Marketing Data Warehouse,Service,Data & BI,A3 A7,Bring marketing data into one place,Marketing data infrastructure,Request an assessment,/services/digital-marketing/marketing-analytics/ | /services/data-analytics/data-engineering/ | /services/data-analytics/dashboards-reporting/,P3,NEW
/services/data-analytics/predictive-analytics/,Predictive Analytics,Service,Data & BI,A2 A5,Forecast demand and behaviour,Predictive analytics,Request an assessment,/services/data-analytics/business-intelligence/ | /services/ai-automation/ai-consulting/ | /technology/ai-stack/,P3,NEW
/services/data-analytics/data-integration/,Data Integration,Service,Data & BI,A6 A7,Connect data across disconnected tools,Data integration,Technical discovery call,/services/software-development/systems-integration/ | /use-cases/centralise-business-data/ | /technology/integrations/,P3,NEW
/services/data-analytics/analytics-implementation/,Analytics Implementation,Service,Data & BI,A3 A7,Set up tracking that can be trusted,Analytics setup and tracking,Request an assessment,/services/digital-marketing/marketing-analytics/ | /services/search-ai-visibility/search-analytics/ | /technology/data-and-analytics-stack/,P2,NEW
/industries/,Industries,Hub,Industries,A2 A3 A6,Find sector-relevant capability,Industries served,Explore your industry,/services/ | /work/by-industry/ | /use-cases/,P1,NEW
/industries/healthcare/,Healthcare,Industry,Industries,A2 A6,See if BizzFly understands healthcare,Healthcare digital and automation,Book a consultation,/industries/healthcare/healthcare-digital-marketing/ | /industries/healthcare/patient-acquisition-automation/ | /technology/security-and-compliance/,P1,NEW
